title,objectid,filename,format,original format,keywords,locations,description,creator,source type,date,type,Copyright Status
Howard Family entry in Ellis Island Passenger Records,geneology001,geneology001.jpg,image/jpeg,Government record,Immigration; Passenger lists; S.S. Marine Falcon; Paula Choplin; Pauline Gillette; Legal documents; Gillette Family; S.S. Marine Falcon,"Southampton, England; New York, NY, USA","Passenger manifest recording the arrival of Poppy and Paula to the United States aboard the S.S. Marine Falcon in 1947, listing personal details such as age, citizenship status, and country of origin.","U.S. Department of Justice, Immigration and Naturalization Service",Primary,1947-03-25,Image,Public domain
An Oral History with Nanny and Gramps,geneology002,geneology002.mp4,video/mp4,VHS recording,Oral history; Family history; Immigration; World War II; Gillette Family,"Waterloo, IA, USA","Video interview of Winfred (Win) and Pauline (Poppy) Gillette telling about their individual family histories, Win's military service, their marriage, and Poppy's immigration to the US. ",Winfred and Pauline Gillette,Family Created,1993-04-12,Video,Copyright held by Choplin Family
Win & Paula on Win & Poppy's wedding day,geneology003,geneology003.jpg,image/jpeg,Photograph,Wedding; Marriage; Groom; Daughter; Winfred Gillette; Paula Choplin; England; Gillette Family,"Southampton, England","Win holding baby Paula at his wedding to her mom, Poppy. ",,Primary,1946-06,Image,Copyright held by Choplin Family
Win & Poppy on their wedding day,geneology004,geneology004.jpg,image/jpeg,Photograph,Wedding; Marriage; Groom; Bride; Parents; Winfred Gillette; Pauline Gillette; Ivor Howard; Vera Howard; England; Gillette Family,"Southampton, England",Win and Poppy's wedding picture with Poppy parents,,Primary,1946-06,Image,Copyright held by Choplin Family
GI Blues in Blightly from Southern Evening Echo,geneology005,geneology005.JPG,image/jpeg,Newspaper,World War II; War brides; American soldiers; Marriage; Veterans; Winfred Gillette; Pauline Gillette; Gillette Family,"Southampton, England","Newspaper article written by Jacqui Goddard and published in the Southern Evening Echo (England) on August 16, 1989, featuring Poppy and Win Gillette, a British woman and an American soldier who met during World War II, participating in a “Back to Blighty” reunion trip with other war couples. Includes a photograph by John Evans.",Jacqui Goddard of the Southern Evening Echo,Primary,1989-08-16,Text,Copyright held by Southern Evening Echo
Last Will and Testament of Jonathan Gillet Sr.,geneology006,geneology006.png,image/png,Government record,Will; Estate; Inheritance; Maryland; Property; Legal documents; Jonathan Gillette; Gillette Family,"Harford County, MD, USA","Last will and testament of Jonathan Gillett, an immigrant from England residing in Dorchester, MA, outlining the distribution of his property to his sons.",Jonathan Gillett,Primary,1677-08-23,Text,Public domain
"Jonathan Gillett entry in The Great Migration Begins: Immigrants to New England, 1620-1633, Volume II G-O",geneology007,geneology007.pdf,application/pdf,Printed book,Immigration; Jonathan Gillett; Colonial America; New England; Gillette Family,"Dorchester, MA, USA; Chaffcombe, Somersetshire, England","Published genealogical account of Jonathan Gillett, documenting his migration from Chaffcombe, Somersetshire, England to Dorchester, Massachusetts in 1633, including details of his land ownership and distribution of property to his children.",Robert Charles Anderson of the New England Historic Genealogical Society,Secondary,1995,Text,"Copyright 1995, New England Historic Genealogical Society"
Founders List,geneology008,geneology008.jpg,application/pdf,Webpage,Genealogy; Early settlers; Founders; Colonial America; Great Migration; Gillette Family,"Windsor, CT, USA","Online list of early settlers (“founders”) of Windsor, Connecticut, documenting individuals present in the town before approximately 1641, compiled and maintained by the Descendants of the Founders of Ancient Windsor. This list includes Jonathan Gillett","Descendants of the Founders of Ancient Windsor, Inc.",Secondary,2020-11-30,Text,"Copyright Descendants of the Founders of Ancient Windsor, Inc."
Report of Birth: Child Born Abroad of American Parent or Parents for Paula Choplin,geneology009,geneology009.pdf,application/pdf,Government record,Birth records; Citizenship; Foreign births; Paula Choplin; United States citizens;  Legal documents; Gillette Family,"Southampton, England","Official Report of Birth documenting the birth of Paula Choplin on October 26, 1945, to American father abroad, issued by the U.S. Foreign Service on July 23, 1946.",U.S. Department of State (Foreign Service),Primary,1946-07-23,Text,Copyright held by Choplin Family
Chronicles of the Family Baker,geneology010,geneology010.pdf,application/pdf,Manuscript,Gillette Family; Immigration; Puritans; Huguenots; New England; Colonial America; Family history,"Guyenne, Bergerac Province, France; Scotland; Dorchester, MA, USA; Milford, CT, USA","Online genealogical history of the Baker family, tracing lineage from 14th-century England through 19th-century settlement in Minnesota, including the Gillett family’s migration from France and England to New England in the 17th century. The work compiles family history, migration patterns, and historical context over more than 500 years and is based on research conducted by Lee C. Baker and was published posthumously by the author’s family.",Lee C. Baker,Family Created,,Text,Private family document; restricted access
"History of Milford, Connecticut",geneology011,geneology011.pdf,application/pdf,Printed book,Founders; Colonial America; Settlement;  Genealogy; New England; Richard Platt; Platt Family,"Milford, CT, USA","Local history of Milford, Connecticut, published in 1939, documenting the founding of the town and early settlers, including information about Richard Platt and his role in establishing the community.","Federal Writers’ Project (Works Progress Administration, Connecticut)",Secondary,1939,Text,Public domain
Joseph Platt entry in The Kelloggs in the Old World and the New,geneology012,geneology012.pdf,application/pdf,Printed book,Joseph Platt; Colonial America; Land grants; Veterans; Platt Family,"Milford, CT, USA","Genealogical account of Joseph Platt, son of Deacon Richard Platt of Milford, Connecticut, including references to his military service and land grants awarded for participation in colonial conflicts in the late 17th century, as documented in The Kelloggs in the Old World and the New.","Timothy Hopkins of Sunset Press and Photo Engraving Co. (San Francisco, Calif.)",Secondary,1903,Text,Public domain
"Platt family entries in The American Genealogist, Vol. 30",geneology013,geneology013.pdf,application/pdf,Newspaper,Platt Family; Colonial America; New England; Joseph Platt,"Milford, CT, USA; New Haven, CT, USA","Index and genealogical references from The American Genealogist, Volume 30 (1954), including information on members of the Platt family and their settlement in Milford and New Haven, Connecticut. Digitized version accessed via Internet Archive.",David L. Greene,Secondary,1954,Text,No known restrictions
The Story of the Memorial in Honor of the Founders of the Town of Milford,geneology014,geneology014.jpg,image/jpeg,Printed book,Founders; Memorials; New England; Platt Family; Richard Platt; Colonial America,"Milford, CT, USA","Historical account by Nathan G. Pond describing the creation of a memorial honoring the founders of Milford, Connecticut, including references to early settlers such as Deacon Richard Platt and their descendants. ","Nathan G. Pond of Creative Media Partners, LLC",Secondary,2025,Text,Public domain
Iowa State Census record for B. D. Stover,geneology015,geneology015.jpg,image/jpeg,Government record,B. D. Stover; Stover Family; Census records; Immigration; German immigrants,"Germany; Iowa, USA","1915 Iowa State Census record for B. D. Stover, age 39, residing in Richland, Franklin County, Iowa. The record indicates he was born in Germany and lists both parents as born in Germany. This record provides key documentation of the Stover family’s presence in Iowa and their origins as immigrants from Germany.",State of Iowa,Primary,1915,Text,Public domain
Stover family photographs with handwritten immigration notes,geneology016,geneology016.jpg,image/jpeg,Photograph,Stover Family; Immigration; Family history,"Germany; Franklin Country, IA, USA; Chapin, IA, USA; Sheffield, IA, USA","Scanned images of two photographs of members of the Stover family, accompanied by handwritten notes by LaVonne Pleggenkuhle describing their immigration from Germany to Iowa and related family history.",LaVonne Pleggenkuhle,Family Created,,Image,Copyright held by Pleggenkuhle Family
Immigration record for Bierman family,geneology017,geneology017.jpg,image/jpeg,Government record,Bierman Family; Immigration; Passenger records; German immigrants,,"Immigration record documenting the arrival of members of the Bierman family to the United States through New York on April 24, 1880, providing details related to their entry and migration from Germany.",United States Immigration Service,Primary,1880-04-24,Text,Public domain
Census record for Fred Bierman family,geneology018,geneology018.jpg,image/jpeg,Government record,"Bierman Family; Census records; Iowa; Bremer County, Iowa; Douglas Township; Farming; Agriculture; German immigrants; Settlement; Fred Bierman","New York, NY, USA; Germany; Prussia","1880 United States Census record documenting members of the Bierman family residing in Douglas Township, Bremer County, Iowa, where they are recorded as settled and engaged in farming.",United States Census Bureau,Primary,1880-06-01,Text,Public domain
"Frederick Pleggenkuhle entry in Portrait and Biographical Album of Fayette County, Iowa",geneology019,geneology019.pdf,application/pdf,Printed book,Frederick Pleggenkuhle; Pleggenkuhle Family; Wamhoff Family; German immigrants,"Fayette County, IA, USA; Bethel Township, IA, USA; Germany","Biographical information of Frederick Pleggenkuhle from Portrait and Biographical Album of Fayette County, Iowa (1891), detailing his immigration from Germany, settlement and farming activities in Bethel Township, and information about his family and descendants. This also includes information on the Wamoff name being changed to Pleggenkuhle. ",Lake City Publishing Company,Secondary,1891,Text,Public domain
Naturalization record card for William Pleggenkuhle,geneology020,geneology020.jpg,image/jpeg,Government record,William Pleggenkuhle; Pleggenkuhle Family; Naturalization; Citizenship; German immigrants,"West Union, IA, USA; Germany","Naturalization record card for William Pleggenkuhle documenting his immigration from Germany and residence in West Union, Iowa, with a recorded date of naturalization on December 14, 1874.","United States Department of Labor, Immigration and Naturalization Service",Primary,1874-12-14,Text,Public domain
